Long,Lat,Date,BirdID,Fix
-77.9435,18.0469,1/11/17,121,1
-77.9407,18.0457,1/11/17,321,2
-77.9428,18.044,1/11/17,153,3
-77.9412,18.0441,1/13/17,46,4
-77.9414,18.0456,1/13/17,153,5
-77.9434,18.047,1/13/17,121,6
-77.9433,18.0468,1/15/17,121,7
-77.9414,18.044,1/15/17,46,8
-77.9439,18.0408,1/15/17,128,9
-77.9418,18.0442,1/15/17,46,10
-77.9434,18.047,1/15/17,121,11
-77.9396,18.0459,1/15/17,321,13
-77.9435,18.0415,1/15/17,128,14
-77.9419,18.0459,1/15/17,321,15
-77.9428,18.0441,1/16/17,153,16
-77.9413,18.0443,1/16/17,46,17
-77.9429,18.0441,1/16/17,153,18
-77.9437,18.047,1/16/17,121,19
-77.9435,18.047,1/16/17,121,20
-77.9414,18.0443,1/16/17,46,21
-77.9437,18.0418,1/16/17,128,22
-77.944,18.041,1/17/17,128,23
-77.9415,18.0442,1/17/17,46,24
-77.9436,18.047,1/17/17,121,25
-77.9413,18.0443,1/17/17,46,26
-77.9439,18.0418,1/17/17,128,27
-77.9426,18.0413,1/18/17,194,28
-77.944,18.0413,1/18/17,128,29
-77.9412,18.0443,1/18/17,46,30
-77.9436,18.047,1/18/17,121,31
-77.9434,18.0469,1/18/17,121,32
-77.9413,18.0443,1/18/17,46,33
-77.9435,18.0416,1/18/17,128,34
-77.9425,18.0413,1/18/17,194,35
-77.9435,18.0469,1/18/17,121,36
-77.9413,18.0443,1/18/17,46,37
-77.9424,18.0414,1/18/17,194,40
-77.9323,18.0415,1/19/17,89,41
-77.9322,18.0403,1/19/17,496,42
-77.9325,18.0412,1/19/17,89,43
-77.9317,18.0413,1/20/17,89,44
-77.9323,18.0408,1/21/17,89,45
-77.9353,18.0363,1/21/17,114,46
-77.9323,18.0405,1/21/17,89,47
-77.9352,18.0362,1/21/17,114,48
-77.9318,18.0407,1/21/17,89,49
-77.935,18.0358,1/21/17,114,50
-77.9319,18.0413,1/21/17,89,51
-77.9351,18.036,1/21/17,114,52
-77.9317,18.0414,1/22/17,89,53
-77.9359,18.0369,1/22/17,114,54
-77.9357,18.0328,1/22/17,302,55
-77.9356,18.0367,1/22/17,114,56
-77.9362,18.0397,1/22/17,169,57
-77.9319,18.0414,1/22/17,89,58
-77.9358,18.0371,1/22/17,114,59
-77.9352,18.0329,1/22/17,302,60
-77.9368,18.0396,1/22/17,169,61
-77.9312,18.0406,1/22/17,89,62
-77.937,18.0402,1/22/17,169,63
-77.9349,18.0329,1/22/17,302,64
-77.9427,18.0443,1/24/17,153,65
-77.9414,18.0443,1/24/17,46,66
-77.9435,18.0469,1/24/17,121,67
-77.9405,18.0441,1/24/17,46,68
-77.9425,18.0417,1/24/17,194,69
-77.9436,18.0416,1/24/17,128,70
-77.9404,18.044,1/24/17,46,71
-77.9411,18.0463,1/24/17,153,72
-77.9435,18.0469,1/24/17,121,73
-77.9424,18.0416,1/24/17,194,74
-77.9439,18.0407,1/24/17,128,75
-77.9438,18.0407,1/24/17,174,76
-77.9412,18.0455,1/24/17,153,77
-77.9435,18.0469,1/24/17,121,78
-77.9423,18.0416,1/24/17,194,79
-77.9438,18.0413,1/24/17,174,80
-77.944,18.0398,1/24/17,128,81
-77.9405,18.044,1/24/17,46,82
-77.9425,18.0446,1/24/17,153,83
-77.9435,18.0469,1/24/17,121,84
-77.9438,18.0409,1/22/17,128,85
